name;description;min_price;max_price;type;image_link
Sate Daging Sapi Khas Belitung;Sate daging sapi dengan bumbu rempah yang disajikan dengan kuah kacang.;25000;70000;SN;https://i.postimg.cc/cLwX358y/Sate-Daging-Sapi-Khas-Belitung.jpg
Sate Ikan Tuhuk;Sate ikan khas Bangka dengan daging ikan yang dibumbui rempah.;45000;120000;SN;https://i.postimg.cc/R00JmWms/Sate-Ikan-Tuhuk.png
Sate Kerang;Sate kerang dengan bumbu pedas manis yang menggugah selera.;32000;90000;SN;https://i.postimg.cc/76YVpHtw/Sate-Kerang.jpg
Sayur Labu Siam;Sayur labu siam yang ditumis dengan bumbu rempah.;35000;95000;SN;https://i.postimg.cc/MH9gh3mr/Sayur-Labu-Siam.jpg
Siput Gong Gong;Siput laut yang direbus dan disantap dengan sambal.;14000;30000;SN;https://i.postimg.cc/nz0m7qkt/Siput-Gong-Gong.png
Sup Gangan Ikan;Sup ikan dengan kuah bening yang segar dan bumbu rempah.;35000;75000;SN;https://i.postimg.cc/Dzh5PdqW/Sup-Gangan-Ikan.jpg
Sup Kembang Kol;Sup kembang kol dengan kuah kaldu yang gurih.;15000;60000;SN;https://i.postimg.cc/zDpmb3YS/Sup-Kembang-Kol.jpg
Sup Kepiting Jagung;Sup kepiting dengan jagung manis dan kuah gurih.;40000;120000;SN;https://i.postimg.cc/T1BJLrd3/Sup-Kepiting-Jagung.jpg
Tai Fu Sui;Minuman tradisional dari tahu yang difermentasi.;20000;50000;SN;https://i.postimg.cc/3wb4x3JK/TaiFuSui.png
Teh Kembang Sepatu;Teh herbal dari bunga kembang sepatu yang segar dan wangi.;50000;120000;SN;https://i.postimg.cc/K8f3Cn63/Teh-Kembang-Sepatu.png
Teh Tarik Belitung;Teh tarik dengan campuran susu kental manis yang khas.;10000;35000;SN;https://i.postimg.cc/hP3HswjX/Teh-Tarik-Belitung.webp
Teri Krispi;Ikan teri yang digoreng dengan tepung hingga renyah.;25000;75000;SN;https://i.postimg.cc/MHHQYXPf/Teri-Krispi.png
Tumis Batang Keladi;Tumisan batang keladi yang dimasak dengan santan dan bumbu rempah.;35000;90000;SN;https://i.postimg.cc/gkMMdZFQ/Tumis-Batang-Keladi.jpg
Tumis Buah Nanas;Tumisan nanas yang manis dan sedikit asam, disajikan sebagai lauk.;15000;30000;SN;https://i.postimg.cc/Z52VvzqL/Tumis-Buah-Nanas.png
Tumis Daun Pakis;Tumis daun pakis yang renyah dan gurih.;35000;85000;SN;https://i.postimg.cc/L8YGbTYN/Tumis-Daun-Pakis.jpg
Ubi Jalar Goreng;Ubi jalar yang digoreng hingga renyah.;25000;50000;SN;https://i.postimg.cc/0ybVNy9Q/Ubi-Jalar-Goreng.jpg
Udang Rebus Sambal Tempoyak;Udang rebus yang disajikan dengan sambal tempoyak fermentasi durian.;10000;20000;SN;https://i.postimg.cc/63j0KkFR/Udang-Rebus-Sambal-Tempoyak.jpg
Urap Bangka;Salad sayur dengan kelapa parut dan bumbu rempah yang gurih.;25000;90000;SN;https://i.postimg.cc/90DBQxjk/Urap-Bangka.jpg
